If I Pay Thee Not In Gold,"Anthony, Piers",8/93-- 9,9
Killobyte,"Anthony, Piers",3/93-- 9,9
Firefly,"Anthony, Piers",11/96-- 8.5,8.5
Muse of Art,"Anthony, Piers",6/99-- 8,8
Steppe,"Anthony, Piers",7/95-- 8,8
Yon Ill Wind,"Anthony, Piers",9/96-- 8,8
Zombie Lover,"Anthony, Piers",10/98-- 8,8
Air Apparent,"Anthony, Piers",10/07-- 7.5,7.5
Chaos Mode Bk 3 The Mode Series,"Anthony, Piers",1/94-- 7.5,7.5
"Dastard, The","Anthony, Piers",10/00-- 7.5,7.5
Faun & Games,"Anthony, Piers",10/97-- 7.5,7.5
Realty Check,"Anthony, Piers",10/99-- 7.5,7.5
Currant Events,"Anthony, Piers",10/04-- 7.2,7.2
Swell Foop,"Anthony, Piers",10/01-- 7.2,7.2
Up in a Heaval,"Anthony, Piers",9/02-- 7.2,7.2
Color of Her Panties,"Anthony, Piers",1/89-- 7,7
DooOn Mode,"Anthony, Piers",4/01-- 7,7
Hard Sell,"Anthony, Piers",2/94-- 7,7
Harpy Thyme,"Anthony, Piers",6/94-- 7,7
Heaven Cent,"Anthony, Piers",1/87-- 7 ,7
Hope of Earth,"Anthony, Piers",5/97-- 7,7
Isle of Woman,"Anthony, Piers",10/93-- 7,7
Pet Peeve,"Anthony, Piers",11/05-- 7,7
Roc & A Hard Place,"Anthony, Piers",10/95-- 7,7
Shame of Man,"Anthony, Piers",10/94-- 7,7
Geis of the Gargoyle,"Anthony, Piers",2/95-- 6.5,6.5
Golem in the Gears,"Anthony, Piers",7/94-- 6,6
Knot Gneiss,"Anthony, Piers",1/11-- 6,6
Question Quest,"Anthony, Piers",1/95-- 6,6
Stork Naked,"Anthony, Piers",11/06-- 6,6
Bearing an Hourglass,"Anthony, Piers",Yes,
Being a Green Mother,"Anthony, Piers",yes,
Chimaera's Copper,"Anthony, Piers",No,
Crewel Lye,"Anthony, Piers",No,
Faith of the Tarot,"Anthony, Piers",No,
For Love of Evil,"Anthony, Piers",yes,
Ghost,"Anthony, Piers",No,
Isle of View,"Anthony, Piers",No,
Juxtaposition,"Anthony, Piers",yes,
Mercycle,"Anthony, Piers",no,
Night Mare,"Anthony, Piers",yes,
Ogre Ogre,"Anthony, Piers",yes,
On a Pale Horse,"Anthony, Piers",yes,
Phaze Doubt:7 Apprentic Adept Series,"Anthony, Piers",Yes,
Serpent's Silver,"Anthony, Piers",No,
Tatham Mound:A Novel,"Anthony, Piers",No,
Unicorn Point,"Anthony, Piers",Yes,
Wielding a Red Sword,"Anthony, Piers",yes,
With A Tangled Skein,"Anthony, Piers",yes,
"Willing Spirit,The","Anthony, Piers & Alfred Tella",11/96-- 7,7
Spider Legs,"Anthony, Piers & Clifford A. Pickover",12/97-- 7.5,7.5
"Secret fo Spring, The","Anthony, Piers & Jo Anne Taeuseh",2/00-- 9,9
Dream a Little Dream,"Anthony, Piers & Julie Brady",12/98-- 8.5,8.5
"Gutbucket Quest, The","Anthony, Piers & Lon Leming",4/00-- 8.6,8.6
"Caterpillar's Question, The","Anthony, Piers & Philip Jose Farmer",1/96-- 7 ,7
Through the Ice,"Anthony, Piers & Robert Kornwise",no,
Dead Morn,"Anthony, Piers & Roberto Fuenties",7/94-- 7,7
Quest for the Fallen Star,"Anthony, Piers, James Richey & Alan Riggs",7/98-- 6,6
"Iron Tracks, The","Appelfeld, Aharon",5/98-- 6,6
False Impression,"Archer, Jeffrey",3/06-- 9,9
"Prisoner of Birth, A","Archer, Jeffrey",3/08-- 9,9
"Sins of the Father, The","Archer, Jeffrey",6/12-- 8,8
"Sins of the Father, The","Archer, Jeffrey",6/12-- 8,8
"Eleventh Commandment, The","Archer, Jeffrey",7/98-- 7.8,7.8
"Fourth Estate, The","Archer, Jeffrey",6/96-- 7.5,7.5
Sons of Fortune,"Archer, Jeffrey",2/03-- 7.5,7.5
And Thereby Hangs A Tale,"Archer, Jeffrey",11/10-- 7,7
Honor Among Thieves,"Archer, Jeffrey",3/94-- 7,7
Twelve Red Herrings,"Archer, Jeffrey",9/94-- 6 ,6
Homicide My Own,"Argula, Anne",12/05-- 7.1,7.1
No Humans Involved,"Armstron, Kelly",6/07-- 7.8,7.8
Jigsaw,"Armstrong, Campbell",9/95-- 6,6
Living With the Dead,"Armstrong, Kelley",11/08-- 7,7
Thirteen,"Armstrong, Kelley",8/12-- 7,7
